_id,lectura,fecha,hora
61e6359bb3b6fb02dc30ee02,22.60,18-01-2022,00-35-55
61e6359eb3b6fb02dc30ee03,22.60,18-01-2022,00-35-58
61e635a1b3b6fb02dc30ee04,22.60,18-01-2022,00-36-01
61e635a4b3b6fb02dc30ee05,22.60,18-01-2022,00-36-04
61e635a7b3b6fb02dc30ee06,22.60,18-01-2022,00-36-07
61e635aab3b6fb02dc30ee07,22.70,18-01-2022,00-36-10
61e635aeb3b6fb02dc30ee08,22.70,18-01-2022,00-36-14
61e635b1b3b6fb02dc30ee09,22.70,18-01-2022,00-36-17
61e635b4b3b6fb02dc30ee0a,22.80,18-01-2022,00-36-20
61e635b7b3b6fb02dc30ee0b,22.80,18-01-2022,00-36-23
61e635bab3b6fb02dc30ee0c,22.80,18-01-2022,00-36-26
61e635bdb3b6fb02dc30ee0d,22.80,18-01-2022,00-36-29
61e635c0b3b6fb02dc30ee0e,22.90,18-01-2022,00-36-32
61e635c3b3b6fb02dc30ee0f,22.90,18-01-2022,00-36-35
61e635c7b3b6fb02dc30ee10,22.90,18-01-2022,00-36-39
61e635cab3b6fb02dc30ee11,22.90,18-01-2022,00-36-42
61e635cdb3b6fb02dc30ee12,23.00,18-01-2022,00-36-45
61e635d0b3b6fb02dc30ee13,23.00,18-01-2022,00-36-48
61e635d3b3b6fb02dc30ee14,23.00,18-01-2022,00-36-51
61e635d6b3b6fb02dc30ee15,23.00,18-01-2022,00-36-54
61e635d9b3b6fb02dc30ee16,23.00,18-01-2022,00-36-57
61e635ddb3b6fb02dc30ee17,23.00,18-01-2022,00-37-01
61e635e0b3b6fb02dc30ee18,23.10,18-01-2022,00-37-04
61e635e3b3b6fb02dc30ee19,23.10,18-01-2022,00-37-07
61e635e6b3b6fb02dc30ee1a,23.10,18-01-2022,00-37-10
61e635e9b3b6fb02dc30ee1b,23.10,18-01-2022,00-37-13
61e635ecb3b6fb02dc30ee1c,23.10,18-01-2022,00-37-16
61e635efb3b6fb02dc30ee1d,23.10,18-01-2022,00-37-19
61e635f2b3b6fb02dc30ee1e,23.10,18-01-2022,00-37-22
61e635f6b3b6fb02dc30ee1f,23.20,18-01-2022,00-37-26
61e635f9b3b6fb02dc30ee20,23.20,18-01-2022,00-37-29
61e635fcb3b6fb02dc30ee21,23.20,18-01-2022,00-37-32
61e635ffb3b6fb02dc30ee22,23.20,18-01-2022,00-37-35
61e63602b3b6fb02dc30ee23,23.20,18-01-2022,00-37-38
61e63605b3b6fb02dc30ee24,23.20,18-01-2022,00-37-41
61e63608b3b6fb02dc30ee25,23.30,18-01-2022,00-37-44
61e6360cb3b6fb02dc30ee26,23.30,18-01-2022,00-37-48
61e6360fb3b6fb02dc30ee27,23.30,18-01-2022,00-37-51
61e63612b3b6fb02dc30ee28,23.30,18-01-2022,00-37-54
61e63615b3b6fb02dc30ee29,23.30,18-01-2022,00-37-57
61e63618b3b6fb02dc30ee2a,23.30,18-01-2022,00-38-00
61e6361bb3b6fb02dc30ee2b,23.30,18-01-2022,00-38-03
61e6361eb3b6fb02dc30ee2c,23.30,18-01-2022,00-38-06
61e63621b3b6fb02dc30ee2d,23.30,18-01-2022,00-38-09
61e63625b3b6fb02dc30ee2e,23.40,18-01-2022,00-38-13
61e63628b3b6fb02dc30ee2f,23.40,18-01-2022,00-38-16
61e6362bb3b6fb02dc30ee30,23.40,18-01-2022,00-38-19
61e6362eb3b6fb02dc30ee31,23.40,18-01-2022,00-38-22
61e63631b3b6fb02dc30ee32,23.40,18-01-2022,00-38-25
61e63634b3b6fb02dc30ee33,23.40,18-01-2022,00-38-28
61e63637b3b6fb02dc30ee35,23.40,18-01-2022,00-38-31
61e6363ab3b6fb02dc30ee36,23.40,18-01-2022,00-38-34
61e6363db3b6fb02dc30ee37,23.50,18-01-2022,00-38-37
61e63641b3b6fb02dc30ee38,23.50,18-01-2022,00-38-41
61e63644b3b6fb02dc30ee39,23.50,18-01-2022,00-38-44
61e63647b3b6fb02dc30ee3a,23.50,18-01-2022,00-38-47
61e6364ab3b6fb02dc30ee3b,23.50,18-01-2022,00-38-50
61e6364db3b6fb02dc30ee3c,23.50,18-01-2022,00-38-53
61e63650b3b6fb02dc30ee3d,23.50,18-01-2022,00-38-56
61e63653b3b6fb02dc30ee3e,23.50,18-01-2022,00-38-59
61e63656b3b6fb02dc30ee3f,23.50,18-01-2022,00-39-02
61e6365ab3b6fb02dc30ee40,23.50,18-01-2022,00-39-06
61e6365db3b6fb02dc30ee42,23.50,18-01-2022,00-39-09
61e63660b3b6fb02dc30ee44,23.50,18-01-2022,00-39-12
